"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_8890","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",4
"otu_1221","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater",7
"otu_2291","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater",5
"otu_4999","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","mud_and_shore",7
"otu_3738","Bacteria","Myxococcota","Polyangia","Polyangiaceae","FEN-1139","FEN-1139 sp003154095","freshwater",4
"otu_3034","Bacteria","Myxococcota","Polyangia","Polyangiaceae","FEN-1139","FEN-1139 sp003154095","freshwater",5
"otu_5883","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater",4
"otu_2602","Bacteria","Myxococcota","Polyangia","Polyangiaceae","JABSRN01","JABSRN01 sp013214025","freshwater",5
"otu_1380","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater:mud_and_shore",11
"otu_7061","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater:terrestrial",8
"otu_15036","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater:terrestrial",4
"otu_3976","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",11
"otu_8799","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",4
"otu_1943","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",6
"otu_11115","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","terrestrial",6
"otu_1701","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","terrestrial",10
"otu_5978","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",8
"otu_4084","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",13
"otu_3519","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",14
